gene_id	logFC	logCPM	LR	PValue	FDR	FC	entrez_id
Kcnk6	-2.793956286	2.88207727	43.49397213	4.25e-11	9.36e-10	-6.935290366	52150
B2m	-2.481920686	8.90693662	43.48344784	4.28e-11	9.39e-10	-5.586407003	12010
Ryr1	-3.188118877	4.871259572	43.4814848	4.28e-11	9.39e-10	-9.114217994	20190
Snhg18	-3.27683151	1.795946511	43.47678689	4.29e-11	9.39e-10	-9.692249274	100616095
H2-DMa	-2.975839875	4.160590014	43.44987963	4.35e-11	9.5e-10	-7.867143366	14998
Epas1	-2.392839778	6.382582566	43.44934825	4.35e-11	9.5e-10	-5.251901207	13819
Pcsk6	-3.058873434	3.001353528	43.42636221	4.4e-11	9.59e-10	-8.333216338	18553
Hmcn1	-2.882649777	3.816284949	43.41838846	4.42e-11	9.62e-10	-7.375034394	545370
Pcdh7	-2.539927464	4.912877728	43.34690982	4.58e-11	9.96e-10	-5.815597663	54216
Creb3l2	-2.377560216	3.809618262	43.32563205	4.63e-11	1.01e-09	-5.196571913	208647
Adamts5	-2.78537456	5.157310234	43.32284683	4.64e-11	1.01e-09	-6.894158941	23794
Lmcd1	-4.02653224	3.541031368	43.29297329	4.71e-11	1.02e-09	-16.29697438	30937
Man1a	-2.43590346	5.560452534	43.23945466	4.84e-11	1.05e-09	-5.411030826	17155
Cd93	-1.991475226	7.161572264	43.23516715	4.85e-11	1.05e-09	-3.976434002	17064
Fblim1	-3.226489186	3.432876202	43.20931642	4.92e-11	1.06e-09	-9.359874503	74202
Naalad2	-2.749253312	3.798601157	43.18933914	4.97e-11	1.07e-09	-6.723690476	72560
Ms4a8a	-4.160666778	2.048066801	43.16180696	5.04e-11	1.08e-09	-17.88485823	64381
Myom1	-4.049592643	4.405080454	43.13947656	5.1e-11	1.09e-09	-16.5595624	17929
Csf3r	-2.678899341	4.313656833	43.07038552	5.28e-11	1.13e-09	-6.403671678	12986
Pxn	-1.82780863	5.420609225	42.98075486	5.53e-11	1.18e-09	-3.549974422	19303
Nab2	-2.959958855	4.000664152	42.95127667	5.61e-11	1.2e-09	-7.781017667	17937
Heyl	-2.563913079	4.32960811	42.90523527	5.75e-11	1.22e-09	-5.913093458	56198
Adamts12	-2.467306259	5.414392018	42.87067216	5.85e-11	1.24e-09	-5.530102647	239337
Palld	-1.780082644	4.930463313	42.8399838	5.94e-11	1.26e-09	-3.434458481	72333
Rab11fip5	-1.860273287	5.314583099	42.81770393	6.01e-11	1.27e-09	-3.630764325	52055
Kdelr3	-2.574520739	3.503122056	42.81307682	6.02e-11	1.27e-09	-5.956730707	105785
H2-Aa	-2.739313934	7.179387	42.80619713	6.04e-11	1.28e-09	-6.677527138	14960
Adap2	-2.44678073	4.355736542	42.72271043	6.31e-11	1.33e-09	-5.451981739	216991
Dhx58	-2.58147726	5.893028316	42.70791596	6.36e-11	1.34e-09	-5.985522785	80861
Psap	-1.971694619	10.95778561	42.69619471	6.39e-11	1.35e-09	-3.922285681	19156
Aldh1a3	-3.217399917	2.472023993	42.64142652	6.58e-11	1.38e-09	-9.301090779	56847
Olfml3	-2.925734928	3.761799358	42.58963599	6.75e-11	1.42e-09	-7.598606813	99543
Nfatc4	-2.517380301	2.907729435	42.56506694	6.84e-11	1.43e-09	-5.725415127	73181
Plekha2	-2.842851138	5.531002538	42.55958366	6.86e-11	1.43e-09	-7.174364964	83436
Trim12c	-2.659464909	5.71795159	42.52706347	6.97e-11	1.46e-09	-6.317986739	319236
Sat1	-1.716744435	7.73913302	42.50724872	7.04e-11	1.47e-09	-3.286938436	20229
Ifitm1	-4.013573535	2.921626203	42.50415494	7.05e-11	1.47e-09	-16.1512457	68713
Dock8	-2.724260583	5.620060865	42.49449628	7.09e-11	1.47e-09	-6.608214805	76088
Fcgrt	-2.456541702	5.881750909	42.48857097	7.11e-11	1.48e-09	-5.48899377	14132
Clic1	-1.644769183	6.325937534	42.48455733	7.12e-11	1.48e-09	-3.126978248	114584
Ly6a	-3.18803327	7.348453955	42.3929313	7.47e-11	1.55e-09	-9.113677187	110454
Adam9	-1.610583387	6.761149843	42.38947685	7.48e-11	1.55e-09	-3.053753023	11502
Epsti1	-3.476683788	4.894715191	42.36897931	7.56e-11	1.56e-09	-11.13233087	108670
Rasgef1b	-2.221825744	5.185872428	42.3298741	7.71e-11	1.59e-09	-4.664834004	320292
Zfp651	-1.820263165	4.387226415	42.32290119	7.74e-11	1.59e-09	-3.531456106	270210
Prelp	-2.936049373	4.696555301	42.28937393	7.87e-11	1.62e-09	-7.653127172	116847
Lbp	-4.200197095	4.571811715	42.27918712	7.91e-11	1.62e-09	-18.38168474	16803
Shc1	-1.402518555	5.946958198	42.2702215	7.95e-11	1.63e-09	-2.643626853	20416
Rarg	-3.010035632	2.892043902	42.25742316	8e-11	1.64e-09	-8.055843365	19411
Adssl1	-3.705908439	3.623136438	42.24831401	8.04e-11	1.64e-09	-13.04937169	11565
Glipr1	-2.735728723	3.987138419	42.23752794	8.08e-11	1.65e-09	-6.660953556	73690
Plin5	-3.55015665	3.839021405	42.23324146	8.1e-11	1.65e-09	-11.71395742	66968
Cpxm2	-2.911457823	2.525271096	42.21474601	8.18e-11	1.66e-09	-7.523780826	55987
Kcna2	-2.664420878	4.659099915	42.21149089	8.19e-11	1.66e-09	-6.33972771	16490
Arhgap30	-2.744313375	5.508303506	42.20181299	8.23e-11	1.67e-09	-6.700707237	226652
Pacsin3	-4.367555833	2.511193689	42.19877552	8.25e-11	1.67e-09	-20.64264355	80708
Ahr	-2.256474664	4.555581248	42.16438225	8.39e-11	1.7e-09	-4.778224584	11622
Cd163	-4.754993362	4.940207595	42.0039169	9.11e-11	1.84e-09	-27.00198124	93671
Plcb3	-1.752422713	4.977614717	42.00365957	9.11e-11	1.84e-09	-3.369238864	18797
Fam129b	-2.068403922	6.136169791	41.99112078	9.17e-11	1.85e-09	-4.194224025	227737
Slc9a9	-2.935492849	4.204441278	41.8617523	9.8e-11	1.97e-09	-7.650175525	331004
Cyp27a1	-2.761509553	3.219837124	41.80307725	1.01e-10	2.03e-09	-6.781054094	104086
Nod1	-2.514777205	4.701010987	41.78975372	1.02e-10	2.04e-09	-5.715093909	107607
Prcp	-1.732863977	6.172432549	41.73931373	1.04e-10	2.09e-09	-3.323870043	72461
Fndc1	-3.499358341	3.686519091	41.6664782	1.08e-10	2.16e-09	-11.30867769	68655
Ppp1r3c	-5.112688561	4.53276307	41.60532079	1.12e-10	2.23e-09	-34.59972247	53412
Lair1	-2.004113253	4.591536694	41.58383024	1.13e-10	2.25e-09	-4.011420632	52855
Tlr2	-2.056498158	4.584327795	41.57337721	1.14e-10	2.26e-09	-4.159753842	24088
Rhoj	-2.121238341	4.452610702	41.55989789	1.14e-10	2.27e-09	-4.350672257	80837
Cst3	-1.783870474	7.94730867	41.55232625	1.15e-10	2.28e-09	-3.443487582	13010
Gnpda1	-1.551040616	5.216799356	41.54334831	1.15e-10	2.28e-09	-2.930284243	26384
Itga4	-2.186407841	6.209149841	41.50861916	1.17e-10	2.32e-09	-4.551707469	16401
H2-Ab1	-2.817579015	6.108712003	41.49958919	1.18e-10	2.33e-09	-7.049783805	14961
Tnfrsf11b	-3.007339351	3.33861293	41.48909475	1.19e-10	2.34e-09	-8.040801701	18383
Ccnd2	-2.765270029	6.04655034	41.43595026	1.22e-10	2.4e-09	-6.798752397	12444
Igfbp7	-2.297094164	8.17663623	41.32673547	1.29e-10	2.53e-09	-4.914668689	29817
Man2b2	-1.8690522	5.335176806	41.31970532	1.29e-10	2.54e-09	-3.65292517	17160
Folr2	-3.034254031	4.038329165	41.30223289	1.3e-10	2.56e-09	-8.192217571	14276
Selp	-4.079000963	3.330298869	41.28243984	1.32e-10	2.58e-09	-16.90058129	20344
Gcat	2.0717981	5.298442289	41.25872822	1.33e-10	2.61e-09	4.204103246	26912
Ifi203	-2.806875523	7.492510301	41.24209133	1.34e-10	2.63e-09	-6.997674327	15950
Tmem173	-2.791167199	4.236476113	41.21685505	1.36e-10	2.66e-09	-6.921895681	72512
Slfn2	-2.5510319	6.276075582	41.18883207	1.38e-10	2.69e-09	-5.860533082	20556
Ltbp3	-2.120115049	4.89099542	41.1647107	1.4e-10	2.72e-09	-4.347286116	16998
Arhgap26	-1.813135884	5.081278663	41.1467212	1.41e-10	2.74e-09	-3.514052837	71302
Col4a5	-2.569046042	4.428095207	41.1462174	1.41e-10	2.74e-09	-5.934169116	12830
Pecam1	-2.160044815	6.818285839	41.06978894	1.47e-10	2.85e-09	-4.46928738	18613
Sez6l	-3.44039981	2.323563738	41.06607036	1.47e-10	2.85e-09	-10.85584265	56747
Ikbke	-2.670048484	4.457387422	41.06509633	1.47e-10	2.85e-09	-6.364505755	56489
Dcn	-3.47772352	7.514310277	41.04657472	1.49e-10	2.87e-09	-11.14035668	13179
Htra3	-3.234768812	3.872153163	41.04323262	1.49e-10	2.87e-09	-9.41374525	78558
Prune2	-2.112158573	6.462543809	41.02918077	1.5e-10	2.89e-09	-4.323376785	353211
Ugt1a7c	-2.8031269	3.529276846	40.99301227	1.53e-10	2.94e-09	-6.979515538	394432
Fpr2	-3.220829052	3.189126713	40.95861801	1.55e-10	2.98e-09	-9.32322479	14289
Arhgef10	-1.862809944	4.226516341	40.94403984	1.57e-10	3e-09	-3.63715383	234094
Gja5	-3.86037843	3.455094888	40.93820537	1.57e-10	3.01e-09	-14.52411577	14613
S100b	-4.077476777	2.043452216	40.88832249	1.61e-10	3.08e-09	-16.8827355	20203
Mmrn2	-2.345311292	5.483928566	40.87420552	1.62e-10	3.1e-09	-5.081700296	105450
Pon3	-2.318692025	4.448173406	40.84602628	1.65e-10	3.14e-09	-4.988797206	269823
Stat5a	-2.996757213	3.675896563	40.83683923	1.65e-10	3.15e-09	-7.982038364	20850
Gbp2	-2.64259297	7.295982042	40.82820682	1.66e-10	3.16e-09	-6.244529911	14469
Dram1	-2.582902514	4.848721429	40.81827122	1.67e-10	3.17e-09	-5.991438871	71712
Gpr146	-2.270527346	4.317496886	40.81226479	1.68e-10	3.18e-09	-4.824994661	80290
Atp1b2	-3.144623707	3.019663676	40.80574309	1.68e-10	3.18e-09	-8.843538299	11932
Padi2	-3.073109011	2.353252716	40.75316054	1.73e-10	3.27e-09	-8.415850115	18600
Trem2	-2.212953098	4.2766395	40.71756436	1.76e-10	3.32e-09	-4.636233081	83433
Dhrs9	-3.285306608	2.072229624	40.68332435	1.79e-10	3.38e-09	-9.749353864	241452
Notch1	-2.314240316	5.756178924	40.61815004	1.85e-10	3.49e-09	-4.973427051	18128
Itpripl2	-1.631132077	5.65759332	40.59142134	1.88e-10	3.53e-09	-3.097559677	319622
Pik3r5	-2.428278493	3.968216169	40.53975249	1.93e-10	3.62e-09	-5.382507757	320207
Tead3	-2.853553473	2.610703592	40.50406492	1.96e-10	3.68e-09	-7.227784404	21678
C77370	1.577246879	5.630422601	40.49405892	1.97e-10	3.69e-09	2.983998641	NA
Dock1	-1.930852697	5.650433868	40.37726861	2.09e-10	3.92e-09	-3.812804864	330662
Scn7a	-2.990612821	6.401216622	40.35251128	2.12e-10	3.96e-09	-7.948115407	20272
Col4a1	-2.278219016	10.40627403	40.35055454	2.12e-10	3.96e-09	-4.850787621	12826
Lats2	-2.381557063	4.899381503	40.307895	2.17e-10	4.04e-09	-5.210988471	50523
Fam105a	-1.643377917	4.936084832	40.26031803	2.22e-10	4.14e-09	-3.123964192	NA
Cacna1g	-4.081329353	2.020533921	40.24423247	2.24e-10	4.16e-09	-16.92787944	12291
Fap	-2.885619195	3.154438214	40.2234509	2.27e-10	4.2e-09	-7.39022964	14089
Plcb2	-2.94104579	3.308307761	40.18252739	2.31e-10	4.29e-09	-7.679677832	18796
Eln	-2.807266869	5.534551234	40.17406618	2.32e-10	4.3e-09	-6.999572779	13717
Dock5	-2.235285947	4.101736301	40.14577162	2.36e-10	4.36e-09	-4.708560108	68813
Parp9	-2.38135909	7.179283203	40.12685026	2.38e-10	4.39e-09	-5.210273446	80285
Rasl12	-2.374377598	4.2043362	40.10277731	2.41e-10	4.44e-09	-5.185120791	70784
Hspb8	-3.451496934	4.565620044	40.0922488	2.42e-10	4.46e-09	-10.93966712	80888
Rab7b	-2.531268938	3.778994232	40.04361802	2.48e-10	4.57e-09	-5.780799109	226421
Unc93b1	-1.912725706	6.397267356	40.0343036	2.5e-10	4.58e-09	-3.765197927	54445
Bcl6	-2.6366346	3.609741863	40.01995023	2.51e-10	4.61e-09	-6.218793015	12053
Lynx1	-4.513296863	3.792493204	40.00297665	2.54e-10	4.64e-09	-22.83693076	23936
H2-Eb1	-2.736621348	6.394590445	39.98894315	2.55e-10	4.67e-09	-6.665076099	14969
Adck3	-3.618277202	5.459094064	39.97226237	2.58e-10	4.71e-09	-12.2803281	NA
Tmem26	-2.141524348	4.697662905	39.95636241	2.6e-10	4.74e-09	-4.412280006	327766
Casp12	-2.560609097	4.445936441	39.89366756	2.68e-10	4.89e-09	-5.899567105	12364
Obscn	-3.106010525	4.511022146	39.88526197	2.69e-10	4.9e-09	-8.609983811	380698
Npr1	-2.821186973	4.657960898	39.8432839	2.75e-10	5e-09	-7.067436289	18160
Gpr65	-2.23165812	4.052805398	39.83010996	2.77e-10	5.03e-09	-4.696734754	14744
Cox8b	-3.865731457	4.782905468	39.68824253	2.98e-10	5.4e-09	-14.57810668	12869
Anxa11	-2.320687566	4.321034552	39.68659774	2.98e-10	5.4e-09	-4.995702502	11744
Ddit4l	-5.797658704	2.351899462	39.49977349	3.28e-10	5.93e-09	-55.62489121	73284
P2rx7	-2.66847966	3.832102664	39.495594	3.29e-10	5.94e-09	-6.357588589	18439
Cyp2d22	-3.185695371	2.065864677	39.49062406	3.3e-10	5.94e-09	-9.098920359	56448
Ticam2	-2.854618374	1.920883305	39.48221257	3.31e-10	5.96e-09	-7.233121438	225471
Ddx58	-2.305252525	7.371964915	39.4169823	3.42e-10	6.16e-09	-4.9425396	230073
Ptgs1	-2.231150033	4.165807387	39.36585888	3.51e-10	6.31e-09	-4.695080953	19224
Cd14	-3.042452148	3.632939213	39.36245965	3.52e-10	6.31e-09	-8.238902376	12475
Rnf144b	-2.60602674	4.449070825	39.35958919	3.53e-10	6.32e-09	-6.088246367	218215
S100a1	-3.026617202	4.221373518	39.34046556	3.56e-10	6.37e-09	-8.148967077	20193
Cybb	-2.123912888	6.920966388	39.30602933	3.62e-10	6.48e-09	-4.358745253	13058
Abcg3	-1.85063785	4.581686851	39.30069677	3.63e-10	6.48e-09	-3.60659606	27405
Hexa	-1.644156968	7.225108434	39.29309011	3.65e-10	6.5e-09	-3.125651579	15211
Tnfrsf26	-3.56400919	2.089127735	39.28524115	3.66e-10	6.52e-09	-11.82697479	244237
Plxdc2	-2.648720999	4.742983653	39.26597239	3.7e-10	6.58e-09	-6.271110755	67448
Meox2	-3.044130367	3.314107794	39.25808592	3.71e-10	6.59e-09	-8.24849188	17286
Pilra	-2.581754828	3.584539825	39.22127401	3.78e-10	6.71e-09	-5.986674484	231805
Abi3	-2.386000971	4.429875706	39.21436558	3.8e-10	6.73e-09	-5.227064533	66610
Trim30d	-4.465507024	4.565710131	39.16881064	3.89e-10	6.87e-09	-22.09284065	209387
Tie1	-2.576390454	5.663945191	39.16702209	3.89e-10	6.87e-09	-5.964455562	21846
Galnt6	-1.593884114	5.058275374	39.13644914	3.95e-10	6.97e-09	-3.018609455	207839
Srpx2	-3.610369135	2.667835343	39.12038311	3.98e-10	7.02e-09	-12.2131982	68792
Spata6	-2.131161941	3.921079905	39.03699992	4.16e-10	7.32e-09	-4.380701585	67946
Tbxas1	-2.318393364	3.877395362	39.00901306	4.22e-10	7.42e-09	-4.98776455	21391
Plxdc1	-2.795044464	2.329249539	38.98833134	4.26e-10	7.49e-09	-6.940523403	72324
Samsn1	-2.876189891	3.102514353	38.87488296	4.52e-10	7.92e-09	-7.342085378	67742
Hpse	-3.326504092	4.215013689	38.87436492	4.52e-10	7.92e-09	-10.03176875	15442
Trim30a	-2.585704713	7.527546421	38.86894653	4.53e-10	7.93e-09	-6.00308757	20128
Il10ra	-2.533480101	4.957902425	38.85140399	4.57e-10	7.99e-09	-5.789665911	16154
AI427809	-3.645691885	2.649034811	38.79057154	4.72e-10	8.23e-09	-12.51591521	381524
Myo1g	-2.704906238	4.061819703	38.78895593	4.72e-10	8.23e-09	-6.520154895	246177
Arhgap31	-2.338437289	5.482113338	38.75831304	4.8e-10	8.35e-09	-5.057545132	12549
Kank1	-2.171303062	4.21094567	38.70935284	4.92e-10	8.54e-09	-4.504300448	107351
Pdlim5	-2.260991622	6.281383026	38.70920229	4.92e-10	8.54e-09	-4.79320825	56376
Gmfg	-2.725449008	3.579305555	38.69764122	4.95e-10	8.58e-09	-6.613660583	63986
Scarf2	-3.021748855	2.866645894	38.69239783	4.96e-10	8.59e-09	-8.121514887	224024
Dio2	-3.102650527	3.618982103	38.67913183	5e-10	8.64e-09	-8.589954721	13371
Sep-08	-1.352635874	5.911080029	38.66538483	5.03e-10	8.69e-09	-2.553782881	20362
Selplg	-2.835999857	4.225277154	38.62432185	5.14e-10	8.86e-09	-7.140375062	20345
Hspg2	-2.351977233	8.04065386	38.58632897	5.24e-10	9.03e-09	-5.105234511	15530
Npr3	-3.614744108	3.623245984	38.53796572	5.37e-10	9.24e-09	-12.25029094	18162
Ifnar2	-1.606004183	5.494890134	38.52787205	5.4e-10	9.28e-09	-3.044075588	15976
Syne3	-2.718485792	3.388764182	38.52334	5.41e-10	9.29e-09	-6.581816439	212073
Ptprm	-2.003178308	4.972850975	38.51403681	5.44e-10	9.32e-09	-4.008821854	19274
Ninj1	-1.926714679	5.328310908	38.49890242	5.48e-10	9.38e-09	-3.801884435	18081
Mmp2	-2.051326381	5.190671433	38.41833712	5.71e-10	9.77e-09	-4.144868641	17390
Prkcd	-2.029295189	5.861467564	38.37423183	5.84e-10	9.98e-09	-4.082053779	18753
Il6st	-1.87846542	7.813666932	38.34897035	5.92e-10	1.01e-08	-3.676837508	16195
Creb3l1	-3.359275078	3.140226087	38.32195149	6e-10	1.02e-08	-10.26224933	26427
Cyb5r3	-1.470800628	6.145830546	38.31159268	6.03e-10	1.03e-08	-2.771756704	109754
AB124611	-2.438581604	3.389185998	38.27395359	6.15e-10	1.05e-08	-5.42108491	382062
Pkhd1l1	-2.956911594	4.204107184	38.25516392	6.21e-10	1.05e-08	-7.764599943	192190
Clec2i	-4.216336822	2.143383305	38.23499732	6.27e-10	1.06e-08	-18.58847901	93675
Sp100	-2.825878633	5.931824729	38.20485543	6.37e-10	1.08e-08	-7.09045708	20684
Speg	-2.104719881	4.034654067	38.20254827	6.38e-10	1.08e-08	-4.301142356	11790
Arhgap9	-2.902597444	3.459734159	38.19727072	6.39e-10	1.08e-08	-7.477714781	216445
Tifa	-2.618022269	3.926343449	38.16922944	6.49e-10	1.09e-08	-6.139079144	211550
Fgd2	-3.511213418	3.071712659	38.16008898	6.52e-10	1.1e-08	-11.40198748	26382
Cxcl12	-3.401968662	5.428147204	38.12707123	6.63e-10	1.12e-08	-10.57047763	20315
Ly9	-2.312463011	4.819143291	38.08801351	6.76e-10	1.14e-08	-4.967303889	17085
Hebp1	-1.935115727	4.501698237	38.07895808	6.79e-10	1.14e-08	-3.82408801	15199
Mar-01	-2.244310974	5.136873805	38.07563742	6.81e-10	1.14e-08	-4.738107641	72925
Tmem104	-2.012065134	4.050209136	38.06884237	6.83e-10	1.14e-08	-4.033591921	320534
Lyz2	-1.957688056	10.22842957	38.06656674	6.84e-10	1.14e-08	-3.884389997	17105
Prkch	-2.408951064	3.955730522	38.03368347	6.95e-10	1.16e-08	-5.310880486	18755
Ptgis	-2.743790913	3.703351431	37.95958449	7.22e-10	1.21e-08	-6.698281061	19223
Gdf10	-3.493912288	2.898753403	37.90755868	7.42e-10	1.24e-08	-11.26606885	14560
Hsd3b7	-2.223052877	4.29029143	37.88841474	7.49e-10	1.25e-08	-4.668803523	101502
Ifi30	-2.264221877	5.519436296	37.88769342	7.49e-10	1.25e-08	-4.803952469	65972
Dnase2a	-1.987945306	4.215925164	37.885819	7.5e-10	1.25e-08	-3.966716539	13423
Rbm24	-3.204168376	2.549800227	37.88501217	7.5e-10	1.25e-08	-9.216176691	666794
Bmper	-3.645523204	3.406384033	37.87024248	7.56e-10	1.25e-08	-12.51445193	73230
Vmp1	-1.490166976	7.103274116	37.85609828	7.62e-10	1.26e-08	-2.809214867	75909
Siglec1	-2.946446335	6.514203512	37.83319018	7.71e-10	1.27e-08	-7.708479601	20612
Pla2g2f	-2.960362895	1.973246965	37.80911089	7.8e-10	1.29e-08	-7.783197113	26971
Slc39a1	-1.516863738	6.60770816	37.80237332	7.83e-10	1.29e-08	-2.861682742	30791
Rin3	-2.584121878	3.420294842	37.7598585	8e-10	1.32e-08	-5.996504967	217835
Tifab	-2.220330919	3.896911785	37.7570906	8.01e-10	1.32e-08	-4.660003113	212937
Lasp1	-1.651914156	6.538023738	37.71571636	8.18e-10	1.35e-08	-3.142503074	16796
Cd74	-2.757596503	7.837731182	37.70664475	8.22e-10	1.35e-08	-6.762686626	16149
Fam46a	-1.917283213	6.011342505	37.70218443	8.24e-10	1.35e-08	-3.777111081	NA
Efemp1	-3.122521746	4.076480157	37.66446182	8.4e-10	1.38e-08	-8.709088576	216616
Acat2	1.650385148	6.687671826	37.61797453	8.6e-10	1.41e-08	3.139174327	110460
Serpinb6b	-2.665453706	4.693836857	37.61730659	8.61e-10	1.41e-08	-6.344267958	20708
Pdgfrl	-2.762553714	2.504131927	37.58459943	8.75e-10	1.43e-08	-6.785963707	68797
Mlkl	-2.928428576	4.498006777	37.58277158	8.76e-10	1.43e-08	-7.612807383	74568
Myh11	-2.385899881	6.091749075	37.55428208	8.89e-10	1.45e-08	-5.226698286	17880
Matn2	-2.404786034	4.453878811	37.51476732	9.07e-10	1.48e-08	-5.295570199	17181
Nalcn	1.444149646	6.006220501	37.46995	9.28e-10	1.51e-08	2.721023932	338370
Serpinb8	-3.317800095	3.450887648	37.42042944	9.52e-10	1.55e-08	-9.971427779	20725
Lcn2	-3.94976863	5.218126361	37.41225552	9.56e-10	1.55e-08	-15.45250289	16819
Plcd1	-2.952236564	2.482182253	37.40079831	9.62e-10	1.56e-08	-7.739479603	18799
Frmd6	-1.999688454	4.808938992	37.36227236	9.81e-10	1.59e-08	-3.999136303	319710
Pi16	-3.968291889	3.533457328	37.36203166	9.81e-10	1.59e-08	-15.65218203	74116
Heg1	-1.913066964	5.784258614	37.35325306	9.86e-10	1.59e-08	-3.76608866	77446
Tpm1	-2.782701269	8.101721193	37.35178811	9.86e-10	1.59e-08	-6.881396002	22003
Abca7	-1.620356079	5.280787784	37.3474727	9.88e-10	1.59e-08	-3.074509104	27403
Ikzf1	-2.699646176	4.981034467	37.33839721	9.93e-10	1.6e-08	-6.496425712	22778
Zfp36l1	-2.816069334	4.970851614	37.31762717	1e-09	1.61e-08	-7.042410551	12192
Adcy7	-2.032230436	5.844217962	37.25684034	1.04e-09	1.66e-08	-4.09036741	11513
Crtap	-1.702061902	4.682517803	37.24348953	1.04e-09	1.67e-08	-3.253656396	56693
Angptl2	-1.535845525	5.003568427	37.23161586	1.05e-09	1.68e-08	-2.89958318	26360
Fam214b	-2.025629618	3.765757343	37.18187432	1.08e-09	1.72e-08	-4.071695341	230088
Sytl2	-3.064859431	2.376148108	37.15519408	1.09e-09	1.74e-08	-8.367864156	83671
Fcrls	-3.777279921	3.579525214	37.08312506	1.13e-09	1.81e-08	-13.71117135	80891
Zfp36	-2.66936725	3.862654354	37.0810002	1.13e-09	1.81e-08	-6.361501176	22695
Ctsd	-2.056139024	10.97212967	37.0286209	1.16e-09	1.85e-08	-4.158718473	13033
Tmem38b	-2.350910517	3.375610147	37.02585055	1.17e-09	1.85e-08	-5.101461139	52076
Rab29	-3.117870864	3.392781559	36.95867955	1.21e-09	1.92e-08	-8.681057895	226422
Fndc3b	-1.638048395	6.327497074	36.92831182	1.23e-09	1.94e-08	-3.112445112	72007
Boc	-3.440089404	2.494835381	36.90895064	1.24e-09	1.96e-08	-10.85350719	117606
Nek7	-1.600556723	5.674895977	36.86118031	1.27e-09	2.01e-08	-3.032603162	59125
Sorcs2	-2.529087891	4.025627506	36.8084667	1.3e-09	2.06e-08	-5.772066379	81840
Col4a2	-2.247588717	9.280127713	36.80366882	1.31e-09	2.06e-08	-4.74888466	12827
Gbp7	-2.399710486	7.850876813	36.75825645	1.34e-09	2.11e-08	-5.276972577	229900
Dnajb4	-1.731216055	5.367511912	36.73052174	1.36e-09	2.14e-08	-3.320075512	67035
P2ry2	-3.605809228	1.623075645	36.71017514	1.37e-09	2.16e-08	-12.17465704	18442
Ptpn7	-3.656663404	2.994297282	36.6893467	1.39e-09	2.18e-08	-12.61146006	320139
C1ra	-3.058187114	4.93071919	36.67785745	1.39e-09	2.19e-08	-8.329252996	50909
Ppap2b	-2.107363111	4.967877194	36.66620675	1.4e-09	2.2e-08	-4.309029905	NA
Nnmt	-3.398954191	3.469905394	36.65272271	1.41e-09	2.21e-08	-10.54841398	18113
Kcna1	-3.773951378	3.160099172	36.60115692	1.45e-09	2.27e-08	-13.67957381	16485
Endod1	-1.725479638	5.787834794	36.5967035	1.45e-09	2.27e-08	-3.306900502	71946
Slfn5	-2.328117171	8.247117152	36.57207856	1.47e-09	2.3e-08	-5.021495779	327978
Dok2	-3.278832146	3.55548468	36.56967607	1.47e-09	2.3e-08	-9.705699182	13449
Vcam1	-1.965060446	7.98744273	36.44853062	1.57e-09	2.44e-08	-3.904290622	22329
Rab8b	-1.541566755	6.788208218	36.44779311	1.57e-09	2.44e-08	-2.911104755	235442
Tlr7	-2.120077017	5.470759723	36.43731348	1.58e-09	2.45e-08	-4.347171513	170743
Vamp8	-2.433901016	4.567942995	36.42110055	1.59e-09	2.47e-08	-5.403525586	22320
Cd47	-1.816147176	6.00613595	36.39996022	1.61e-09	2.49e-08	-3.521395269	16423
Naglu	-1.958840327	4.606236042	36.39727012	1.61e-09	2.49e-08	-3.887493672	27419
Camk2d	-1.461826692	6.280428828	36.38779544	1.62e-09	2.5e-08	-2.754569172	108058
Evi2a	-2.153051129	4.854500376	36.38717173	1.62e-09	2.5e-08	-4.447674253	14017
Pde7b	-2.290419008	4.039684189	36.34758995	1.65e-09	2.55e-08	-4.891981704	29863
Phf11d	-2.512551483	6.115710598	36.33831189	1.66e-09	2.56e-08	-5.706283731	219132
Pmepa1	-1.82313413	4.91665446	36.32907691	1.67e-09	2.57e-08	-3.538490705	65112
Dock6	-2.317027446	5.037440646	36.32884523	1.67e-09	2.57e-08	-4.983044459	319899
Irak4	-2.684279698	3.208416307	36.32490655	1.67e-09	2.57e-08	-6.427597983	266632
Nfe2l2	-1.573404545	5.978310008	36.31012837	1.68e-09	2.58e-08	-2.976061924	18024
Mcemp1	-3.905226726	0.962188782	36.3067514	1.69e-09	2.59e-08	-14.98271038	69189
Aim1	-2.822581015	4.582161586	36.30335681	1.69e-09	2.59e-08	-7.074268687	NA
Gsdmd	-2.561635361	4.470417832	36.30161831	1.69e-09	2.59e-08	-5.903765264	69146
Gpsm3	-2.757011555	3.105309484	36.27303452	1.72e-09	2.62e-08	-6.759945218	106512
Hspb2	-4.18245932	1.74390949	36.26380753	1.72e-09	2.63e-08	-18.15706762	69253
Reln	-2.232145157	5.414622682	36.23466989	1.75e-09	2.67e-08	-4.698320585	19699
Itgal	-2.538038793	4.344311643	36.2068801	1.77e-09	2.7e-08	-5.807989291	16408
Lamp2	-1.697297617	8.424105869	36.18247806	1.8e-09	2.74e-08	-3.242929401	16784
Ifngr1	-1.653455954	5.211870471	36.15558818	1.82e-09	2.77e-08	-3.145863241	15979
